企業名,順位,カテゴリー,年収,設立,従業員数,資本金
ハイブリィド株式会社,3,PM/PL/ITコンサル,400～1500万円,2015年3月3日,85名（2024年4月現在）,3億3100万円
株式会社野村総合研究所【ポジションマッチ登録】,4,PM/PL/ITコンサル,500～1500万円,創業1965年4月1日,"6,782人（NRIグループ 17,394人） 2023年3月31日現在","19,338,400千円"
株式会社NTTデータ【ポジションマッチ登録】,5,PM/PL/ITコンサル,給与情報なし,1988年（昭和63年）5月23日,195106名（連結／2023年3月31日時点）,"1,425億2,000万円（2024年9月30日時点）"
ＧＭＯメイクショップ株式会社【ポジションマッチ登録】,6,PM/PL/ITコンサル,給与情報なし,2004年9月22日,337名（2024年4月1日時点） ※派遣社員・業務委託・アルバイトのパートナーを含む,"5,000万円"
株式会社セキュアイノベーション,7,PM/PL/ITコンサル,350～850万円,2015年(平成27年)10月21日,92名（2024年11月時点）,"1億2,100万円（資本金1億100万円、資本準備金2,000万円）"
ジー・ブーン株式会社,8,PM/PL/ITコンサル,700～1500万円,2006年7月7日,100名（2022年9月時点）※20代23％　30代33％,4180万円
キャンバスエッジ株式会社,9,PM/PL/ITコンサル,600～1000万円,2023年12月,132名（2024年4月時点）,"2,000万円"
中央ＩＣＴ協同組合,10,PM/PL/ITコンサル,450～1500万円,2019年4月,情報なし,3000万円
株式会社ボイス,11,PM/PL/ITコンサル,400～900万円,2010年1月5日,50名,1000万円
株式会社NTTデータ東北【株式会社NTTデータ（東証プライム上場）グループ】,12,PM/PL/ITコンサル,給与情報なし,1990年3月7日,307名（2024年4月1日現在）,1億円
スパイシーソフト株式会社,13,PM/PL/ITコンサル,500～1000万円,1999年11月30日,情報なし,"10,000,000円"
アビームコンサルティング株式会社,14,PM/PL/ITコンサル,給与情報なし,1981年4月1日,"8,278名 （2024年4月1日現在 連結）",62億円
株式会社サイバーエージェント　メディア統括本部,15,PM/PL/ITコンサル,500～1000万円,1998年3月18日,"7,251名","7,440百万円（2024年9月末現在）"
バレットグループ株式会社,16,PM/PL/ITコンサル,400～1200万円,2013年1月,186名 (2023年1月時点) ※アライアンスグループ除く,"1,000万円"
株式会社UP MILLS,17,PM/PL/ITコンサル,350～1000万円,2018年,12名,情報なし
株式会社ハイサーブ,18,PM/PL/ITコンサル,400～950万円,2013年1月24日,情報なし,"3,000,000円"
三井不動産株式会社,19,PM/PL/ITコンサル,800～1400万円,1941年7月15日,"2,049名（2024年3月31日現在）","341,800百万円（2024年7月26日現在）"
みずほリサーチ&テクノロジーズ株式会社,20,PM/PL/ITコンサル,400～1500万円,2004年10月1日,"4,700名","16億2,750万円　※株式会社みずほフィナンシャルグループ（持株比率91.5%）"
株式会社Necmos,1,インフラ系エンジニア,550～1500万円,2021年1月7日,45名（2024年12月現在）,900万円
株式会社KDC【NTTドコモ他5社出資企業】,2,インフラ系エンジニア,給与情報なし,1970年4月15日 （昭和45年4月15日）,社員（嘱託社員、キャリアスタッフ含む）230名、契約社員80名、パート99名（2024年11月1日）,"2,000万円"
株式会社エスアイイー　【東京プロマーケット上場】,3,インフラ系エンジニア,300～500万円,2004年6月,"1,173名（2024年11月現在）",3000万円
株式会社ビルドイット,4,インフラ系エンジニア,400～750万円,2017年 2月,44名,情報なし
株式会社ファインディックス　名古屋オフィス,5,インフラ系エンジニア,500～750万円,2006年10月1日,168名,"5,000万円"
株式会社システナ【東証プライム市場上場企業】,6,インフラ系エンジニア,300～400万円,1983年(昭和58年)3月,"単体：4,267名／連結：5,758名（2024年10月1日現在）","15億1,375万円（2024年10月1日現在）"
